CP;INSEE;Nom min;Nom Maj
14710;14547;Rubercy;RUBERCY
14340;14550;Rumesnil;RUMESNIL
14400;14552;Ryes;RYES
14540;14554;Le Castelet;LE CASTELET
14130;14555;Saint-André-d'Hébertot;SAINT-ANDRE-D HEBERTOT
14320;14556;Saint-André-sur-Orne;SAINT-ANDRE-SUR-ORNE
14800;14557;Saint-Arnoult;SAINT-ARNOULT
14970;14558;Saint-Aubin-d'Arquenay;SAINT-AUBIN-D ARQUENAY
14380;14559;Saint-Aubin-des-Bois;SAINT-AUBIN-DES-BOIS
14750;14562;Saint-Aubin-sur-Mer;SAINT-AUBIN-SUR-MER
14130;14563;Saint-Benoît-d'Hébertot;SAINT-BENOIT-D HEBERTOT
14960;14565;Saint-Côme-de-Fresné;SAINT-COME-DE-FRESNE
14280;14566;Saint-Contest;SAINT-CONTEST
14480;14569;Sainte-Croix-sur-Mer;SAINTE-CROIX-SUR-MER
14290;14570;Valorbiquet;VALORBIQUET
14100;14571;Saint-Denis-de-Mailloc;SAINT-DENIS-DE-MAILLOC
14110;14572;Saint-Denis-de-Méré;SAINT-DENIS-DE-MERE
14100;14574;Saint-Désir;SAINT-DESIR
14950;14575;Saint-Étienne-la-Thillaye;SAINT-ETIENNE-LA-THILLAYE
14140;14576;Val-de-Vie;VAL-DE-VIE
14130;14578;Saint-Gatien-des-Bois;SAINT-GATIEN-DES-BOIS
14260;14579;Seulline;SEULLINE
14310;14579;Seulline;SEULLINE
14100;14582;Saint-Germain-de-Livet;SAINT-GERMAIN-DE-LIVET
14230;14586;Saint-Germain-du-Pert;SAINT-GERMAIN-DU-PERT
14280;14587;Saint-Germain-la-Blanche-Herbe;ST GERMAIN LA BLANCHE HERB
14700;14588;Saint-Germain-Langot;SAINT-GERMAIN-LANGOT
14190;14589;Saint-Germain-le-Vasson;SAINT-GERMAIN-LE-VASSON
14240;14590;Sainte-Honorine-de-Ducy;SAINTE-HONORINE-DE-DUCY
14520;14591;Aure sur Mer;AURE SUR MER
14210;14592;Sainte-Honorine-du-Fay;SAINTE-HONORINE-DU-FAY
14130;14593;Saint-Hymer;SAINT-HYMER
14100;14595;Saint-Jean-de-Livet;SAINT-JEAN-DE-LIVET
14430;14598;Saint-Jouin;SAINT-JOUIN
14130;14601;Saint-Julien-sur-Calonne;SAINT-JULIEN-SUR-CALONNE
14570;14602;Saint-Lambert;SAINT-LAMBERT
14220;14603;Saint-Laurent-de-Condel;SAINT-LAURENT-DE-CONDEL
14710;14605;Saint-Laurent-sur-Mer;SAINT-LAURENT-SUR-MER
14430;14606;Saint-Léger-Dubosq;SAINT-LEGER-DUBOSQ
14310;14607;Saint-Louet-sur-Seulles;SAINT-LOUET-SUR-SEULLES
14400;14609;Saint-Loup-Hors;SAINT-LOUP-HORS
14740;14610;Saint-Manvieu-Norrey;SAINT-MANVIEU NORREY
14330;14613;Saint-Marcouf;SAINT-MARCOUF-DU-ROCHY
14330;14614;Sainte-Marguerite-d'Elle;SAINTE-MARGUERITE-D'ELLE
14380;14619;Sainte-Marie-Outre-l'Eau;SAINTE-MARIE-OUTRE-L EAU
14130;14620;Saint-Martin-aux-Chartrains;ST MARTIN AUX CHARTRAINS
14290;14621;Saint-Martin-de-Bienfaite-la-Cressonnière;ST MARTIN DE BIENFAITE
14710;14622;Saint-Martin-de-Blagny;SAINT-MARTIN-DE-BLAGNY
14320;14623;Saint-Martin-de-Fontenay;SAINT-MARTIN-DE-FONTENAY
14100;14625;Saint-Martin-de-la-Lieue;SAINT-MARTIN-DE-LA-LIEUE
14100;14626;Saint-Martin-de-Mailloc;SAINT-MARTIN-DE-MAILLOC
14700;14627;Saint-Martin-de-Mieux;SAINT-MARTIN-DE-MIEUX
14400;14630;Saint-Martin-des-Entrées;SAINT-MARTIN-DES-ENTREES
14220;14635;Saint-Omer;SAINT-OMER
14670;14637;Saint-Ouen-du-Mesnil-Oger;SAINT-OUEN-DU-MESNIL-OGER
14340;14639;Saint-Ouen-le-Pin;SAINT-OUEN-LE-PIN
14670;14640;Saint-Pair;SAINT-PAIR
14490;14643;Saint-Paul-du-Vernay;SAINT-PAUL-DU-VERNAY
14130;14644;Saint-Philbert-des-Champs;SAINT-PHILBERT-DES-CHAMPS
14950;14645;Saint-Pierre-Azif;SAINT-PIERRE-AZIF
14700;14646;Saint-Pierre-Canivet;SAINT-PIERRE-CANIVET
14100;14648;Saint-Pierre-des-Ifs;SAINT-PIERRE-DES-IFS
14700;14649;Saint-Pierre-du-Bû;SAINT-PIERRE-DU-BU
14260;14650;Saint-Pierre-du-Fresne;SAINT-PIERRE-DU-FRESNE
14670;14651;Saint-Pierre-du-Jonquet;SAINT-PIERRE-DU-JONQUET
14450;14652;Saint-Pierre-du-Mont;SAINT-PIERRE-DU-MONT
14170;14654;Saint-Pierre-en-Auge;SAINT-PIERRE-EN-AUGE
